anno_pil,pil_nominale_milioni,edizione,serie_istat,fonte_id
1997,1095091.6,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
1998,1141256.8,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
1999,1177549.7,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2000,1244744.2,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2001,1308623.1,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2002,1355522.3,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2003,1399386.0,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2004,1457356.2,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2005,1499073.1,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2006,1559864.2,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2007,1621714.5,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2008,1643718.8,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2009,1584106.8,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2010,1617944.7,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2011,1657362.2,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2012,1632898.5,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2013,1621260.7,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2014,1635870.7,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2015,1663277.7,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
2016,1704856.7,2026M3,DCCN_PILN,istat_pil_nominale_sdmx
